datetime,count,freq,top,unique
2014-01-31,235,37,台湾,50
2014-02-28,275,39,三亚,72
2014-03-31,281,41,厦门,93
2014-04-30,663,74,厦门,127
2014-05-31,422,34,厦门,101
2014-06-30,475,48,厦门,132
2014-07-31,589,40,台湾,146
2014-08-31,507,45,济州岛,127
2014-09-30,490,114,济州岛,110
2014-10-31,439,94,济州岛,82
2014-11-30,475,82,济州岛,92
2014-12-31,326,94,济州岛,71
2015-01-31,722,144,济州岛,98
2015-02-28,587,177,济州岛,94
2015-03-31,2256,319,首尔,188
2015-04-30,1192,271,济州岛,130
2015-05-31,855,263,济州岛,122
2015-06-30,480,73,济州岛,114
2015-07-31,605,73,济州岛,120
2015-08-31,604,89,济州岛,127
2015-09-30,633,135,济州岛,116
2015-10-31,812,155,济州岛,124
2015-11-30,741,129,济州岛,141
2015-12-31,555,87,济州岛,141
2016-01-31,836,135,济州岛,141
2016-02-29,639,71,济州岛,123
2016-03-31,1019,152,济州岛,137
2016-04-30,1265,186,济州岛,170
2016-05-31,688,119,济州岛,142
2016-06-30,505,84,济州岛,107
2016-07-31,541,61,济州岛,143
2016-08-31,426,46,斯里兰卡,108
2016-09-30,493,45,济州岛,111
2016-10-31,300,24,大阪,96
2016-11-30,280,23,大阪,92
2016-12-31,482,52,北海道,120
2017-01-31,406,61,北海道,97
2017-02-28,310,40,北海道,103
2017-03-31,479,33,京都,144
2017-04-30,531,60,曼谷,157
2017-05-31,671,50,泰国,171
2017-06-30,586,55,曼谷,152
2017-07-31,373,28,大阪,103
2017-08-31,507,29,雨崩,158
2017-09-30,288,17,香港,121
2017-10-31,304,21,毛里求斯,126
2017-11-30,272,14,泸沽湖,103
2017-12-31,378,32,新加坡,121
2018-01-31,369,26,上海,116
2018-02-28,271,22,摩洛哥,91
2018-03-31,342,28,日本,105
2018-04-30,411,36,全球,119
2018-05-31,543,32,日本,147
2018-06-30,574,70,日本,144
2018-07-31,770,90,全球,163
2018-08-31,762,66,全球,168
2018-09-30,1025,308,全球,189
2018-10-31,1454,857,全球,159
2018-11-30,1117,644,全球,117
2018-12-31,46,18,全球,11
